Year,Month,Country,Value_NIS,Quantity_TON
2025,1,צרפת,3160810.0,409.0
2025,2,אחר,374477.0,78.0
2025,2,איטליה,21435076.0,5062.0
2025,2,ארצות הברית,3684810.0,456.0
2025,2,יוון,1575843.0,339.0
2025,2,צרפת,4979131.0,656.0
2025,3,אחר,400246.0,82.0
2025,3,איטליה,24631376.0,5395.0
2025,3,ארצות הברית,7834208.0,975.0
2025,3,יוון,579570.0,110.0
2025,3,צרפת,4638499.0,592.0
2025,4,אחר,867245.0,148.0
2025,4,איטליה,11381145.0,2323.0
2025,4,ארצות הברית,5844613.0,710.0
2025,4,יוון,775501.0,148.0
2025,4,צרפת,2237909.0,277.0
2025,5,אחר,482219.0,87.0
2025,5,איטליה,12605805.0,2442.0
2025,5,ארצות הברית,9923184.0,1256.0
2025,5,יוון,2637627.0,452.0
2025,5,צרפת,363664.0,60.0
2025,6,אחר,2701169.0,403.0
2025,6,איטליה,26318834.0,5155.0
2025,6,ארצות הברית,6803687.0,908.0
2025,6,יוון,2732183.0,474.0
2025,6,צרפת,2050737.0,284.0
2025,7,אחר,2225751.0,345.0
2025,7,איטליה,12676019.0,2461.0
2025,7,ארצות הברית,9324320.0,1362.0
2025,7,יוון,1163050.0,220.0
2025,7,צרפת,1353013.0,217.0
2025,8,אחר,1229257.0,198.0
2025,8,איטליה,3095643.0,590.0
2025,8,ארצות הברית,14430698.0,2103.0
2025,8,יוון,1057508.0,192.0
2025,8,צרפת,245900.0,44.0
2025,9,אחר,3010293.0,531.0
2025,9,איטליה,8434519.0,1552.0
2025,9,ארצות הברית,6368856.0,934.0
2025,9,יוון,770945.0,143.0
2025,9,צרפת,603915.0,106.0
2025,10,אחר,2335460.0,422.0
2025,10,איטליה,18442434.0,3808.0
2025,10,ארצות הברית,3436374.0,491.0
2025,10,יוון,261872.0,54.0
2025,10,צרפת,399688.0,67.0
2025,11,אחר,2184345.0,398.0
2025,11,איטליה,27706349.0,6135.0
2025,11,ארצות הברית,1569129.0,230.0
2025,11,יוון,855119.0,188.0
2025,11,צרפת,7067829.0,905.0
2025,12,אחר,1186166.0,233.0
2025,12,איטליה,32018432.0,6821.0
2025,12,ארצות הברית,887009.0,165.0
2025,12,יוון,1027291.0,242.0
2025,12,צרפת,7818726.0,1016.0
